ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
HD 67424        ,Star, 8.14424     , 19.77072 , 8.53  , 8.48  , 8.4742  , 2978   , 6118   , 5076   , 1358 , 950
HD 67346        ,Star, 8.13574     , 19.21594 , 8.23  , 7.63  , 7.4785  , 5117   , 10885  , 6747   , 918  , 2278
TYC 1384-1330-1 ,Star, 8.09963     , 19.38749 , 11    , 10.05 , 9.7610  , 704    , 1086   , 785    , 2221 , 2542
TYC 1384-594-1  ,Star, 8.08099     , 19.88256 , 10.66 , 9.87  , 9.6143  , 744    , 1538   , 913    , 3395 , 1815
BD+20 1997      ,Star, 8.08191     , 20.09054 , 10.21 , 9.36  , 9.0853  , 986    , 2104   , 1243   , 3628 , 1357
BD+20 2002      ,Star, 8.11703     , 20.30866 , 10.83 , 10.37 , 10.2011 , 464    , 969    , 671    , 2841 , 282
TYC 1385-985-1  ,Star, 8.14128     , 20.12704 , 10.57 , 10.13 , 10.0350 , 557    , 1244   , 854    , 1890 , 247
TYC 1384-963-1  ,Star, 8.12454     , 19.45866 , 12.73 , 11.52 , 10.7476 , 120    , 282    , 244    , 1562 , 1955
TYC 1385-1668-1 ,Star, 8.13691     , 19.31428 , 11.7  , 11.37 , 11.0758 , 213    , 421    , 232    , 1008 , 2045
Moon Center,Moon,8.1211,19.749,-1,-1,-1,-1,-1,-1,2025.5,1400.5
L1-21J          ,Moon, -1     , -1 , -1     , -1     , -1       , 3699   , 5351   , 2730   , 1400 , 1568
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1412,1517
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1404,1286
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1671,1008
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2127,871
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1811,1832
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1856,1235
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2197,1276
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2251,1437
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2074,1370
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1667,1196
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1741,1574
